0,0.0
10,0.54
20,0.2
30,0.22
40,0.24
50,0.27
60,0.32
70,0.35
80,0.4
90,0.44
100,0.48
110,0.53
120,0.56
130,0.6
140,0.63
150,0.65
160,0.66
170,0.67
180,0.67
190,0.66
200,0.64
210,0.62
220,0.58
230,0.54
240,0.5
250,0.45
260,0.42
270,0.37
280,0.33
290,0.29
300,0.25
310,0.23
320,0.21
330,0.2
340,0.2
350,0.2
360,0.22
370,0.23
380,0.27
390,0.3
400,0.33
410,0.38
420,0.42
430,0.47
440,0.51
450,0.55
460,0.59
470,0.62
480,0.65
490,0.66
500,0.67
510,0.67
520,0.66
530,0.65
540,0.62
550,0.59
560,0.56
570,0.51
580,0.47
590,0.43
600,0.38
610,0.35
620,0.3
630,0.27
640,0.24
650,0.21
660,0.21
670,0.19
680,0.2
690,0.21
700,0.23
710,0.26
720,0.28
730,0.33
740,0.37
750,0.41
760,0.46
770,0.5
780,0.54
790,0.58
800,0.61
810,0.64
820,0.65
830,0.67
840,0.67
850,0.66
860,0.66
870,0.63
880,0.6
890,0.57
900,0.52
910,0.49
920,0.44
930,0.4
940,0.36
950,0.31
960,0.28
970,0.24
980,0.22
990,0.21
1000,0.19
1010,0.2
1020,0.2
1030,0.22
1040,0.25
1050,0.27
1060,0.32
1070,0.35
1080,0.4
1090,0.44
1100,0.48
1110,0.53
1120,0.56
1130,0.6
1140,0.63
1150,0.65
1160,0.67
1170,0.67
1180,0.67
1190,0.65
1200,0.64
1210,0.62
1220,0.58
1230,0.54
1240,0.5
1250,0.45
1260,0.42
1270,0.36
1280,0.33
1290,0.29
1300,0.25
1310,0.23
1320,0.2
1330,0.19
1340,0.2
1350,0.2
1360,0.22
1370,0.23
1380,0.26
1390,0.3
1400,0.33
1410,0.38
1420,0.42
1430,0.47
1440,0.52
1450,0.55
1460,0.59
1470,0.62
1480,0.65
1490,0.66
1500,0.67
1510,0.67
1520,0.66
1530,0.65
1540,0.62
1550,0.59
1560,0.56
1570,0.51
1580,0.47
1590,0.43
1600,0.38
1610,0.34
1620,0.3
1630,0.27
1640,0.23
1650,0.21
1660,0.2
1670,0.19
1680,0.2
1690,0.21
1700,0.22
1710,0.26
1720,0.28
1730,0.33
1740,0.37
1750,0.41
1760,0.46
1770,0.5
1780,0.54
1790,0.58
1800,0.61
1810,0.64
1820,0.65
1830,0.67
1840,0.67
1850,0.66
1860,0.65
1870,0.63
1880,0.6
1890,0.57
1900,0.53
1910,0.49
1920,0.44
1930,0.4
1940,0.36
1950,0.31
1960,0.28
1970,0.24
1980,0.22
1990,0.21
